id,cleaned_text,label
1.24424418323542e+18,happy mothers day to all the amazing mums out there ewe know who you are,0
1.24392281541963e+18,happy mothers day to my super mum ochie dike nne m as long as i breathe,1
1.246532827728e+18,thismorning happy mothers day mum we miss you loads we will celebrate soon sophias missing her nan loads love ashleigh alan sophia xxxxxx pictwittercomcputovkiia,0
1.24436616221496e+18,happy mothers day to our mothers and intending mothers around the world from all of us at meganaco consults compbcwrfepfxb igshid=gndeynd0iw0j,1
1.24397587408246e+18,ndi nne mama happy mothers day to the anglican mothers of nigeria may god bless you all and help you do your best to protect your families from coronavirus and from all danger may you all live and continue to compbcrwsqjxad igshid=0m0sj0pcdmork,2
1.24462819981393e+18,happy mothers day whether you are spending time together or sharing warm wishes from afar make sure to celebrate that most marvelous mom in your life pictwittercomnydlb0xtno,1
1.24535188483313e+18,happy mothers day wishing all our dcfcwomen footballing mums right through from the 0st team and those guiding our academy girls a very happy mothers day pictwittercomauev00oaps,1
1.24570470110826e+18,happy mothers day to all those mammas out there these four muddas in this image mean the world to me planet earth compbcvpl0gon igshid=cad0v0sjlxrf,0
1.24613392467123e+18,i cycled 00 mile round trip to say happy mothers day to my mum through the conservatory window from the garden loads of groups of lads about going to get worse if weather good stay in your fking houses or a safe distance,2
1.2439690885962e+18,happy mothers day you can win family passes to our museum we are asking children to send us their cards art you have made to celebrate how great your mum is we will post it on our social media send to <email> pictwittercomrswymouhlu,2
1.24621803529327e+18,for all those things mothers represents for those becoming mothers for every shade colour race category type of mother happy mothers day pictwittercomamjq0iztar,1
1.24496013174325e+18,the heart of a home is a mother whose love is warm and true and home has always been sweet home with a wonderful mother like you happy mothers day bbes compbcfuyvnwre igshid=0ptskwclf0sb0,0
1.24467777431456e+18,happy from all at lwigaa we may not be together today but great days like these are not too far away pictwittercomhpyd0oauq0,0
1.24501142978425e+18,to the moms of the world we love you and we appreciate all that you do for us happy mothers day pictwittercomfdtjpsml0t,0
1.24553874660436e+18,she represents the full moon stability power creation sexuality + life the mother with her beaming energy shines a light on all the best parts of us gracefully guiding us to explore express + grow with courage happy illustration ink violets pictwittercomeuntzrdzrq,2
1.24556560155428e+18,with the uncertainty of work we got some rescue plants this year let us hope with the help of smudge and the kids we can revive them happy mothers day twittercombloomandwilds tatus0000000000000000000 pictwittercomcfzgfeeqqk,1
1.24589095024272e+18,happy happy mothers day to my sweet muma so hope this horrible time will be over soon and you can come down for a lovely break love you lots mxox compbc0isahzf igshid=0czu00hgp0xo0,1
1.24459826363175e+18,lkl wld w bnt mhm mtwfy kl sn w my hy mkm w lkl m lm tnjb kl sn w n bntk happy mothers day,2
1.24539753138463e+18,rpdbrodie happy mothers day to my best friend and best chauffeur and nurse ratchet jxd00 not forgetting a little small tickle in my throat yes that kiss you and she kisses back my gf brodie love you brodes pictwittercomngc00xpsqa,0
1.24424840103583e+18,celebrating the best of black motherhood we asked black mums what are the joys of motherhood in the black british motherhood survey 0000 we will spend today sharing what black mums all over the uk said happy mothers day pictwittercomym0gvk00fu,2
1.24581896994211e+18,happy mothers day to all the mums out their and i hope you all doing well today and having fun with their families at home and staying safe sending all my love to you all my mum is happy enough with us at home being warm and careful pictwittercombu0of0bwde,0
1.24505465175123e+18,i would post happy mothers day about my mum we are pretty sound as we work together and are on levels but the last show she came to watch me she got drunk and bood me so she can go do one tbh,1
1.24392163762973e+18,to all the amazing mothers out there we appreciate the care love and dedication you put into everything you do happy pictwittercomymc0p0zgdg,0
1.24620870209844e+18,angiefarrah happy mothers day lannezchampagne compbdmuofjywo igshid=00tqqbawfx00b,0
